date,average_list_price,median_list_price
7/1/2016,559581.67,324983.33
10/1/2016,578003.33,329108.33
1/1/2017,639841.33,348641.67
4/1/2017,632497,360746
7/1/2017,599924.33,361035.67
10/1/2017,608773.33,355670
1/1/2018,684785.67,375466.67
4/1/2018,672732.33,394558.33
7/1/2018,639265.33,389609.67
10/1/2018,625337,379977.67
1/1/2019,664712,396047.67
4/1/2019,659776.33,411317.67
7/1/2019,779523,407819
10/1/2019,675687.33,403870
1/1/2020,766843.67,434013.33
4/1/2020,722357.67,440400
7/1/2020,859828.67,481648.33
10/1/2020,968893.33,509725
1/1/2021,1155237.67,544783.33
4/1/2021,1102985,565616.67
7/1/2021,984214.67,559951
10/1/2021,1008581.33,568575
1/1/2022,1105781.33,609756.33
4/1/2022,983457,641116.67
7/1/2022,895957.67,596737.67
10/1/2022,884057.67,569765
1/1/2023,969828.33,590658.33
4/1/2023,990809.67,625086
7/1/2023,999905.33,612406.67
10/1/2023,965813.67,596880
1/1/2024,1031303.33,598466.67
